,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code
2858,/organization/cp-secure,CP Secure,|Public Relations|,Public Relations,USA,CA,SF Bay Area,Cupertino,/organization/netgear-inc,NETGEAR,|Telecommunications|Hardware + Software|,Telecommunications,USA,CA,SF Bay Area,San Jose,2008-09-22,2008-09,2008-Q3,2008.0,17500000,USD
2863,/organization/cpower,CPower,|Clean Technology|,Clean Technology,USA,NY,New York City,New York,/organization/constellation-energy,Constellation Energy,|Energy|,Energy,USA,MD,Baltimore,Baltimore,2010-09-19,2010-09,2010-Q3,2010.0,78000000,USD
2870,/organization/crashlytics,Crashlytics,|Mobile|,Mobile,USA,MA,Boston,Cambridge,/organization/twitter,Twitter,|Software|SMS|MicroBlogging|Messaging|Social Media|,Software,USA,CA,SF Bay Area,San Francisco,2013-01-28,2013-01,2013-Q1,2013.0,100000000,USD
2879,/organization/creativebug,CreativeBug,|Video|Art|,Art,USA,CA,SF Bay Area,San Francisco,/organization/demandmedia,Demand Media,|Social Media|Music|Content|News|,Social Media,USA,CA,Los Angeles,Santa Monica,2014-07-14,2014-07,2014-Q3,2014.0,10000000,USD
2882,/organization/creditcards-com,CreditCards.com,|Credit Cards|Personal Finance|Curated Web|,Curated Web,USA,NY,New York City,New York,/organization/bankrate,Bankrate,|Business Services|Curated Web|,Business Services,USA,FL,Palm Beaches,North Palm Beach,2010-07-05,2010-07,2010-Q3,2010.0,145000000,USD
2884,/organization/crescendo-bioscience,Crescendo Bioscience,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,South San Francisco,/organization/myriad-genetics,Myriad Genetics,|Biotechnology|,Biotechnology,USA,UT,Salt Lake City,Salt Lake City,2014-02-04,2014-02,2014-Q1,2014.0,270000000,USD
2906,/organization/crossflo-systems,Crossflo Systems,|Software|,Software,USA,CA,San Diego,San Diego,/organization/patriot-scientific,Patriot Scientific,|Software|,Software,USA,CA,San Diego,Carlsbad,2008-08-04,2008-08,2008-Q3,2008.0,21650000,USD
2916,/organization/crowdcompass,CrowdCompass,|Consumer Internet|Android|iPad|iPhone|Apps|Events|Mobile|,Consumer Internet,USA,OR,"Portland, Oregon",Portland,/organization/cvent,Cvent,|Event Management|Software|,Event Management,USA,VA,"Washington, D.C.",Mclean,2012-06-19,2012-06,2012-Q2,2012.0,10000000,USD
2934,/organization/cryptography-research,Cryptography Research,|Security|,Security,USA,CA,SF Bay Area,San Francisco,/organization/rambus,Rambus,|Technology|Semiconductors|,Technology,USA,CA,SF Bay Area,Los Altos,2011-06-06,2011-06,2011-Q2,2011.0,342500000,USD
2940,/organization/csi,CSI,|Gas|,Gas,USA,TX,TX - Other,Midland,/organization/compressco-partners,Compressco Partners,|Energy|,Energy,USA,OK,Oklahoma City,Oklahoma City,2014-07-20,2014-07,2014-Q3,2014.0,825000000,USD
