,company_permalink,company_name,company_category_list,company_market,company_country_code,company_state_code,company_region,company_city,acquirer_permalink,acquirer_name,acquirer_category_list,acquirer_market,acquirer_country_code,acquirer_state_code,acquirer_region,acquirer_city,acquired_at,acquired_month,acquired_quarter,acquired_year,price_amount,price_currency_code,raised_amount_usd
456,/organization/videoiq,VideoIQ,|Analytics|,Software,USA,MA,Boston,Bedford,/organization/avigilon-corporation,Avigilon Corporation,|Hardware + Software|,Hardware + Software,CAN,BC,Vancouver,Vancouver,12/31/13,2013-12,2013-Q4,2013,32000000,USD,29000000
8,/organization/adiana,Adiana,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Redwood City,/organization/cytyc,Cytyc,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,2/26/07,2007-02,2007-Q1,2007,215000000,USD,23000000
13,/organization/adnexus,Adnexus,|Biotechnology|,Biotechnology,USA,MA,Boston,Waltham,/organization/bristol-myers-squibb,Bristol-Myers Squibb,|Health and Wellness|Pharmaceuticals|Biotechnology|,Pharmaceuticals,USA,NY,New York City,New York,8/10/10,2010-08,2010-Q3,2010,415000000,USD,42500000
17,/organization/ahura-scientific,Ahura Scientific,|Biotechnology|,Biotechnology,USA,ME,ME - Other,Limington,/organization/thermo-fisher-scientific,Thermo Fisher Scientific,|Technology|Bioinformatics|Biotechnology|,Bioinformatics,USA,MA,Boston,Waltham,1/19/10,2010-01,2010-Q1,2010,145000000,USD,17000000
30,/organization/angioscore,AngioScore,|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Fremont,/organization/spectranetics,Spectranetics,|Medical Devices|,Medical Devices,USA,CO,Colorado Springs,Colorado Springs,5/27/14,2014-05,2014-Q2,2014,230000000,USD,30000000
48,/organization/avid-radiopharmaceuticals,Avid Radiopharmaceuticals,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Philadelphia,/organization/eli-lilly,Eli Lilly,|Biotechnology|,Biotechnology,USA,IN,Indianapolis,Indianapolis,11/8/10,2010-11,2010-Q4,2010,800000000,USD,69400000
49,/organization/avidia,Avidia,|Pharmaceuticals|Medical|Biotechnology|,Biotechnology,USA,CA,SF Bay Area,Mountain View,/organization/amgen,Amgen,|Biotechnology|,Biotechnology,USA,CA,Los Angeles,Thousand Oaks,10/2/08,2008-10,2008-Q4,2008,380000000,USD,72300000
81,/organization/ception-therapeutics,Ception Therapeutics,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,/organization/cephalon,Cephalon,|Biotechnology|,Biotechnology,USA,PA,Philadelphia,Malvern,2/23/10,2010-02,2010-Q1,2010,250000000,USD,77700000
127,/organization/elevation-pharmaceuticals,Elevation Pharmaceuticals,|Biotechnology|,Biotechnology,USA,CA,San Diego,San Diego,/organization/sunovion-pharmaceuticals,Sunovion Pharmaceuticals,|Biotechnology|,Biotechnology,USA,MA,Boston,Marlborough,8/30/12,2012-08,2012-Q3,2012,430000000,USD,77000000
132,/organization/eragen-biosciences,EraGen Biosciences,|Biotechnology|,Biotechnology,USA,WI,Madison,Madison,/organization/luminex,Luminex,|Biotechnology|,Biotechnology,USA,TX,Austin,Austin,6/21/11,2011-06,2011-Q2,2011,34000000,USD,12000000
